WORK ORDER;PN;Descrição;SN;Operator;Exchange Order Number;R.S. In;Week0;Month0;Year0;R.S. Out;SegVoo;Week 1;Month1;Year1;STATUS;TAIL;DATE OF REMOVAL;Reason for removal;Work done;QUANTITY BGA SOLDER;Item used on repair;TAT;REASON FOR DELAY;WO FINISHED?(Y/N);RETURN TO AZUL;MONTH;YEAR;MONTH.SEGVOO;YEAR.SEGVOO;DUAL
7485;LV10-080408-102;DSB;CBHB002270;AZUL;;05/06/2019;23;6;2019;04/07/2019;04/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7485/19 REPLACED U42 FLASH MEMORY;PR-AXE;05/05/2019;SEAT A INOPERATIVE;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;30,00;MÃO DE OBRA;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7486;LV10-080408-102;DSB;CBHB001087;AZUL;;05/06/2019;23;6;2019;03/07/2019;03/07/2019;27;7;2019;SEGVOO003 ISSUED AS 7486/19 REPLACED U68 FLASH MEMORY;PR-AYF;08/05/2019;SEAT B INOPERATIVE;REPLACED U68 FLASH MEMORY;1;RC28F128J3F-75;30,00;MÃO DE OBRA;Y;05/07/2019;7;2019;7;YEAR.SEGVOO;NÃO
7487;LV10-080408-102;DSB;CBHB002966;AZUL;;05/06/2019;23;6;2019;02/02/2021;02/02/2021;6;2;2021;ISSUED SEGVOO003 7487/21 - REPLACED PROCESSOR U2 BCM7312 - VDU ERRORS PRESENTED ON ATP IS BECAUSE THE FUSES F3 AND F4 HAS THEIR VALUES OUT OF RANGE. IT WAS REPLACED THE U60 AND THE DISTORTION HAS BEEN CORRECTED. THE TEST IS SATISFACTORY.;PR-AXR;10/05/2019;SEAT A INOPERATIVE;REPLACED X7 CRISTAL, U1 DECODER, U60 INVERTER, F1 ,F2F3F4 FUSES..;1;BCM7312TKPB16G                     AS-54.000-TC01     FAN2500S33X;476,00;;Y;23/09/2020;9;2020;2;YEAR.SEGVOO;NÃO
7502;LV10-080408-102;DSB;CBHB001030;AZUL;;17/06/2019;25;6;2019;20/09/2019;;38;9;2019;DETECTED BGA SOLDERING PROCESS PROBLEMS, RETURNED THE CCA FOR NEW REPLACEMENT;PR-AYK;02/06/2019;NO LIVE TV ON SEAT A ;BER (REPLACED THE U42 FLASH MEMORY);1;RC28F128J3F-75;95,00;PROCESS IFE;Y;20/09/2019;9;2019;;YEAR.SEGVOO;NÃO
7503;LV10-080408-102;DSB;CBHB000977;AZUL;;17/06/2019;25;6;2019;14/09/2020;14/09/2020;38;9;2020; SEGVOO003 ISSUED AS 7503/20 REPLACED PROCESSOR U2 BCM7312 TEST SATISFACTORY ;PR-AYG;29/05/2019;SEAT A BLACK SCREEN;FLASH MEMORY AND DECODER REPLACEMENT;2;RC28F128J3F-75       BCM7312TKPB16G              ;464,00;;Y;23/09/2020;9;2020;9;YEAR.SEGVOO;NÃO
7511;LV10-080408-102;DSB;CBHB002796;AZUL;819780;17/06/2019;25;6;2019;15/09/2020;15/09/2020;38;9;2020;SEGVOO003 ISSUED AS 7511/20 - REPLACED THE CONNECTOR POSITION J1 ;PR-AYY;29/05/2019;SEVERAL SEATS ON ZONE DOES NOT WORKING;REPLACED J1 CONNECTOR;0;F50S12G2-3537;464,00;;Y;23/09/2020;9;2020;9;YEAR.SEGVOO;NÃO
7719;LV10-080408-102;DSB;CBHB000376;AZUL;842937;06/08/2019;32;8;2019;29/08/2019;29/08/2019;35;8;2019;SEGVOO003 ISSUED AS 7719/19 REPLACED U42 FLASH MEMORY;PR-AXT;15/07/2019;SEAT 2C BLACK SCREEN;REPLACED THE U42 FLASH MEMORY;1;RC28F128J3F-75;27,00;OTHER;Y;02/09/2019;9;2019;8;YEAR.SEGVOO;NÃO
7720;LV10-080408-102;DSB;CBHB000792;AZUL;842937;06/08/2019;32;8;2019;29/08/2019;29/08/2019;35;8;2019;SEGVOO003 ISSUED AS 7720/19 REPLACED  U68 AND U42 FLASH MEMORIES;PR-AXU;01/07/2019;SEAT 30B LIVE TV INOP;REPLACED  U68 AND U42 FLASH MEMORIES;2;RC28F128J3F-75;27,00;OTHER;Y;02/09/2019;9;2019;8;YEAR.SEGVOO;NÃO
7725;LV10-080408-102;DSB;CBHB000945;AZUL;842937;06/08/2019;32;8;2019;29/08/2019;29/08/2019;35;8;2019;SEGVOO003 ISSUED AS 7725/19 REPLACED U42 FLASH MEMORY;PR-AYK;18/07/2019;SEAT 24C BLACK SCREEN;REPLACED U42 FLASH MEMORY;1;RC28F128J3F-75;27,00;OTHER;Y;02/09/2019;9;2019;8;YEAR.SEGVOO;NÃO
7726;LV10-080408-102;DSB;CBHB000825;AZUL;842937;06/08/2019;32;8;2019;16/04/2021;16/04/2021;16;4;2021;ISSUED SEGVOO003 AS 7726/21 - REPLACED U2 DECODER AND NO MORE FAILURE WERE FOUND.;PR-AXH;08/07/2019;SEAT 28D BLACK SCREEN;REPLACED THE U68 FLASH MEMORY                        U15 BUFFER AND                                                                       U62 RESET CIRCUIT.                                                          REPLACED U2 DECODER;2;RC28F128J3F-75   NL37WZ07USG MAX6343SUT+T BCM7312TKPB16G;414,00;;Y;23/09/2020;9;2020;4;YEAR.SEGVOO;NÃO
